timestamp,shift,process,machine,batch_id,product_type,temperature,vibration,speed,pressure,defect
2024-06-01,C,Drilling,DrillX1,B100,P1,71.97,0.47,817.19,79.48,OK
2024-06-01,A,Drilling,DrillX1,B21,P1,81.98,0.41,1068.04,85.98,OK
2024-06-01,A,Machining,CNC1,B76,P5,81.76,0.62,918.76,103.97,Chatter marks
2024-06-01,B,Machining,CNC2,B69,P3,79.09,0.52,632.96,126.11,OK
2024-06-01,C,Drilling,DrillX1,B78,P5,64.8,0.57,851.02,106.23,OK
2024-06-01,C,Machining,CNC1,B28,P3,75.09,0.52,1269.36,79.99,OK
2024-06-01,C,Machining,CNC2,B57,P5,88.11,0.38,718.38,61.25,Excessive burrs
2024-06-01,B,Assembly,AssemLineB,B33,P4,71.49,0.35,1141.83,127.85,OK
2024-06-01,A,Assembly,AssemLineB,B63,P2,63.84,0.42,620.34,101.4,OK
2024-06-01,C,Welding,WeldUnitB,B48,P5,89.85,0.09,1010.38,96.93,OK
2024-06-01,B,Assembly,AssemLineA,B81,P2,80.61,0.91,1247.6,107.36,OK
2024-06-01,A,Packaging,PackLine2,B82,P4,75.72,0.42,1146.41,99.48,OK
2024-06-01,A,Welding,WeldUnitA,B69,P3,70.38,0.71,715.95,129.89,OK
2024-06-01,B,Machining,CNC1,B73,P1,72.0,0.18,829.63,108.19,OK
2024-06-01,C,Packaging,PackLine1,B63,P2,88.53,0.58,1001.42,112.39,OK
2024-06-01,B,Drilling,DrillX1,B12,P4,71.9,0.71,1061.25,117.75,OK
2024-06-01,C,Drilling,DrillX2,B36,P2,70.41,0.47,1115.07,93.94,OK
2024-06-01,C,Welding,WeldUnitA,B3,P3,78.04,0.52,1134.28,91.42,OK
2024-06-01,B,Casting,CastLine2,B82,P3,63.34,0.35,1112.79,114.26,OK
2024-06-01,C,Assembly,AssemLineB,B26,P3,71.91,0.7,954.17,96.6,OK
2024-06-01,C,Drilling,DrillX1,B70,P3,80.73,-0.03,1065.08,99.15,OK
2024-06-01,C,Machining,CNC1,B66,P1,77.76,0.78,964.87,86.94,OK
2024-06-02,A,Packaging,PackLine1,B23,P2,65.73,0.46,996.33,101.5,OK
2024-06-02,A,Coating,CoatBooth1,B28,P2,89.35,0.52,833.1,95.46,OK
2024-06-02,C,Casting,CastLine2,B78,P3,73.23,0.79,821.0,84.74,OK
2024-06-02,B,Casting,CastLine1,B91,P3,65.41,0.71,1191.91,83.97,OK
2024-06-02,A,Casting,CastLine2,B14,P1,70.74,0.59,1214.35,83.76,OK
2024-06-02,B,Packaging,PackLine1,B82,P1,81.9,0.63,1288.58,92.45,Seal failure
2024-06-02,C,Drilling,DrillX1,B74,P5,60.58,0.53,1032.27,108.31,OK
2024-06-02,C,Welding,WeldUnitA,B21,P1,79.6,0.62,1029.77,91.85,OK
2024-06-02,A,Assembly,AssemLineA,B33,P5,68.15,0.51,1075.42,121.77,OK
2024-06-02,B,Machining,CNC1,B2,P3,102.37,0.55,767.45,103.57,OK
2024-06-02,C,Welding,WeldUnitA,B5,P2,74.38,0.67,1124.27,104.28,OK
2024-06-02,B,Welding,WeldUnitA,B91,P2,69.34,0.63,971.22,82.1,OK
2024-06-02,A,Assembly,AssemLineB,B73,P3,44.81,0.28,1259.12,91.91,OK
2024-06-02,C,Assembly,AssemLineB,B55,P1,70.36,0.45,772.83,64.85,OK
2024-06-02,B,Assembly,AssemLineA,B94,P1,75.01,0.58,1257.91,83.4,OK
2024-06-02,A,Machining,CNC2,B46,P1,89.86,0.32,836.71,108.88,OK
2024-06-02,B,Welding,WeldUnitA,B24,P5,92.04,0.3,1178.26,97.8,OK
2024-06-02,A,Machining,CNC2,B38,P3,67.15,0.8,1372.79,101.32,OK
2024-06-02,C,Drilling,DrillX1,B96,P2,76.08,0.21,1040.15,86.17,OK
2024-06-02,B,Welding,WeldUnitA,B83,P2,76.95,0.54,691.47,103.12,OK
2024-06-02,A,Packaging,PackLine1,B86,P4,77.08,0.45,1208.22,106.1,OK
2024-06-02,B,Welding,WeldUnitA,B47,P1,86.42,0.68,1161.43,107.61,OK
2024-06-02,A,Packaging,PackLine2,B39,P1,82.45,0.34,954.94,110.83,OK
2024-06-02,B,Packaging,PackLine1,B58,P3,66.48,0.55,675.33,71.06,OK
2024-06-02,A,Packaging,PackLine1,B3,P1,92.39,0.94,839.39,76.89,OK
2024-06-02,B,Coating,CoatBooth1,B67,P4,82.23,0.53,700.81,101.6,OK
2024-06-02,B,Coating,CoatBooth1,B26,P3,85.67,0.4,764.25,95.56,OK
2024-06-02,C,Packaging,PackLine2,B38,P2,70.51,0.31,1234.48,103.06,OK
2024-06-02,B,Drilling,DrillX1,B34,P3,89.24,0.29,1158.06,127.04,OK
2024-06-03,B,Assembly,AssemLineA,B96,P4,75.99,0.33,1081.43,106.48,OK
2024-06-03,B,Packaging,PackLine1,B76,P2,78.02,0.79,1008.54,114.77,OK
2024-06-03,B,Coating,CoatBooth2,B7,P5,69.59,0.89,1021.79,108.31,OK
2024-06-03,A,Welding,WeldUnitA,B20,P2,75.91,0.65,1074.07,119.84,OK
2024-06-03,C,Assembly,AssemLineA,B92,P2,72.39,0.58,538.24,104.66,OK
2024-06-03,B,Welding,WeldUnitB,B78,P3,79.28,0.5,1080.19,87.24,OK
2024-06-03,B,Welding,WeldUnitA,B42,P3,75.05,0.37,1214.11,131.83,OK
